yr2010avg,yr2011avg,yr2012avg,yr2013avg,yr2014avg,yr2015avg,yr2016avg,yr2017avg,yr2018avg,yr2019avg,yr2020avg,yr2010min,yr2011min,yr2012min,yr2013min,yr2014min,yr2015min,yr2016min,yr2017min,yr2018min,yr2019min,yr2020min,yr2010max,yr2011max,yr2012max,yr2013max,yr2014max,yr2015max,yr2016max,yr2017max,yr2018max,yr2019max,yr2020max,monthdate,outliermin,outliermax
19.17958333,14.28166667,12.02,13.28125,20.84458333,13.11333333,9.375833333,12.91416667,17.28666667,13.52416667,12.92791667,12.38,12.61,7.86,10.79,14.51,11.44,7.4,10.78,8.26,9.62,8.2,25.61,16.84,16.59,15.51,28.15,16.27,11.12,15.86,24.86,18.81,17.57,22-Oct,1.71,26.03
13.60625,19.17458333,14.10958333,13.26083333,16.63708333,12.72,10.34708333,13.83,13.67583333,16.56458333,16.04916667,10.03,12.2,6.6,10.36,14,10.19,8.48,11.26,10.55,7.96,11.72,17.95,26.06,20.44,14.54,20.79,15.97,12.17,17.57,16.21,25.5,20.91,23-Oct,1.71,26.03
11.28708333,14.27958333,17.97416667,9.759583333,18.97,13.15791667,11.73458333,14.74791667,11.8,21.65083333,12.50916667,8.13,10.79,14.34,7.06,14.13,8.36,9.3,11.27,8.4,11.06,9.3,15.07,19.07,22.01,12.21,26.33,18.72,15.13,18.93,15.31,30.37,15.81,24-Oct,1.71,26.03
12.4675,12.44125,16.36583333,10.99166667,14.8475,19.6,16.84958333,14.24833333,11.86625,19.25458333,10.40041667,6.29,9.94,10.66,6.91,12.67,9.18,9.31,11.95,5.58,13.37,8.19,18.87,15.65,19.88,14.41,18.17,28.67,22.55,17.32,18.07,24.64,12.06,25-Oct,1.71,26.03
14.18333333,13.95,11.23041667,12.195,15.98166667,14.095,15.09166667,14.02708333,12.6775,12.15208333,12.50541667,9.23,8.75,8.7,9.38,11.76,11.64,10.36,11.64,8.84,10.11,9.5,19.27,19.17,14.22,15.27,20.43,17.15,18.51,16.96,16.71,13.75,16.02,26-Oct,1.71,26.03
12.60208333,16.6525,11.25125,12.22833333,15.76166667,15.15083333,11.78166667,17.51333333,12.98333333,12.31583333,13.54208333,8.75,9.37,8.74,9.04,11.03,10.02,8.18,9.57,9.16,9.02,10.04,15.54,22.66,13.75,15.63,19.38,21.46,14.64,24.51,17.46,16.14,17.31,27-Oct,1.71,26.03
13.84625,19.77583333,12.91416667,13.07166667,13.70041667,16.96916667,10.87166667,16.87041667,11.35625,13.3325,14.67291667,6.53,15.77,9.32,9.06,10.65,9.07,5.37,12.89,7.27,8.59,10.49,20.81,25.83,16.83,16.86,17.59,24.25,16.24,20.29,15.7,19.43,19.91,28-Oct,1.71,26.03
19.5025,16.26125,15.76208333,12.83166667,14.29916667,17.76458333,14.59,18.24625,12.49416667,18.26958333,14.97208333,12.74,10.26,7.58,11.18,10.18,10.86,7.5,10.57,8.28,9.18,9.69,25.21,20.02,24.15,15.03,20.16,23.98,21.97,25.56,17.37,26.95,21.16,29-Oct,1.71,26.03
17.57125,11.2575,20.48375,13.07458333,14.79666667,18.39125,17.60458333,11.38583333,14.83125,18.19625,15.44666667,13.52,8.67,12.2,10.77,10.88,11.26,8.84,8.93,7.16,12.26,12.38,20.61,15.14,28.69,15.7,19.8,25.3,23.69,14.14,22.7,24.91,19.52,30-Oct,1.71,26.03
12.32125,10.72,21.79166667,12.92041667,19.70208333,18.73583333,11.08875,11.36666667,15.53125,23.70916667,14.17541667,9.63,7.67,17.18,9.69,8.73,14.36,7.09,7.42,12.26,15.8,11.98,13.78,13.78,27.76,15.96,28.97,23.19,15.08,14.9,19.35,30.5,16.56,31-Oct,1.71,26.03
10.97,12.85708333,13.66916667,13.85958333,13.40833333,18.71958333,12.29291667,13.74666667,21.56666667,24.91416667,13.75666667,8.2,9.29,10.52,8.2,8.82,14.37,8.8,11.28,12.58,18.93,11.04,14.07,16.09,18.82,20.08,18.61,23.33,15.82,16.53,30.23,30.89,17.56,1-Nov,1.71,26.03
12.71375,13.2175,12.14541667,17.06208333,11.1,14.05666667,12.65791667,12.38208333,22.42125,16.93375,17.28125,9.47,11.74,10.21,11.21,8.09,10.64,8.51,10.89,15.08,14.32,10.08,16.12,15.26,14.46,24.03,14.49,15.53,16.23,14.01,26.15,23,25.63,2-Nov,1.71,26.03
11.18833333,12.98625,14.49666667,12.7075,14.55416667,13.79291667,13.74916667,11.04458333,14.72375,15.40583333,21.68,8.79,9.93,8.61,9.91,9.17,8.1,9.17,8.47,11.9,11.89,14.23,13.44,15.37,20.4,14.18,20.28,18.79,18.79,14.16,18.62,19.76,27.49,3-Nov,1.71,26.03
11.70458333,14.76291667,19.09208333,11.81625,18.3,18.01541667,17.57125,10.88166667,14.65333333,11.31291667,17.45208333,7.53,11.94,9.93,8.95,11.84,11.49,9.49,7.41,8.84,8.74,11.47,15.32,18.46,25.93,15.08,25.78,24.92,26.14,14.69,20.26,14.92,22.21,4-Nov,1.71,26.03
13.6125,18.99625,21.9125,14.41166667,13.39583333,18.8775,12.26041667,11.40125,19.62166667,12.16291667,12.05583333,7.6,8.84,19.71,7.68,11.18,17.47,9.53,6.48,15.02,7.27,10.25,19.39,27.5,24.48,21.36,15.53,21.04,14.65,16.25,24.91,17.19,14.26,5-Nov,1.71,26.03
15.02791667,20.075,18.85458333,19.67291667,14.15416667,16.15416667,15.1675,12.31208333,16.89916667,16.10875,12.64583333,8.09,15.21,15.03,10.92,9.51,13.27,11.33,9.49,13.93,12.47,10.61,20.89,25.27,21.11,27.12,19.35,17.25,19.18,14.78,19.57,21.62,14.86,6-Nov,1.71,26.03
17.46,18.95166667,15.80208333,18.50291667,20.61166667,13.10791667,16.575,12.28958333,11.91416667,12.89875,12.35333333,12.57,12.85,13.59,14.16,10.43,9.35,12.72,10.91,8.84,10.86,9.7,22.56,25.23,18.29,23.97,29.12,15.31,22.83,14.29,14.24,15.11,14.95,7-Nov,1.71,26.03
16.03916667,20.40208333,15.315,14.84791667,21.645,14.98625,13.02,13.32208333,11.50708333,10.55041667,13.97875,12.09,17.05,11.97,11.83,13.6,7.85,10.06,9.71,7.12,7.41,6.61,20.97,24.37,19.54,19.22,31,21.55,16.19,17.49,15.71,12.35,19.87,8-Nov,1.71,26.03
18.74791667,20.82,12.99541667,11.95125,14.24875,21.49416667,12.72708333,14.1325,13.4225,10.72,18.46875,10.35,15.62,9.69,9.95,10.84,12.46,7.63,8.22,8.66,7.27,9.44,25.75,26.92,15.97,14.45,17.84,30.38,16.98,20.36,18.44,13.46,25.94,9-Nov,1.71,26.03
19.26666667,15.97875,13.01083333,12.40666667,13.6925,13.72583333,12.84708333,17.03708333,14.18416667,13.46041667,22.39291667,13.6,12.55,8.57,8.69,10.38,10.91,9.57,10.52,8.91,11.45,14.76,23.52,19.03,17.69,15.87,17.91,16.68,15.97,23.35,18.77,16.14,28.89,10-Nov,1.71,26.03
18.81333333,15.77,17.085,12.85375,13.46708333,14.80708333,14.20625,19.2275,14.55916667,19.33291667,22.42125,11.51,9.53,6.8,9.5,9.06,10.57,7.75,13.84,9.1,10.57,19.96,27.22,20.95,24.51,16.57,16.99,18.99,20.01,25.58,19.54,26.57,25.45,11-Nov,1.71,26.03
